tab	sites
site	study	member	member_age	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_unit	dir_comp_name	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	description
AW-12-20	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.16525	248.146738	Ma	ChRM	0	284.0	5.0	7.0	53	6			Carbon Canyon member; Weil et al. (2004)
AW-13-1	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.279811	248.113842	Ma	ChRM	0	264.0	6.0	11.0	31	7			Carbon Canyon member; Weil et al. (2004)
AW-13-2	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.277885	248.113658	Ma	ChRM	0	264.0	18.0	15.0	16	7			Carbon Canyon member; Weil et al. (2004)
AW-13-3	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.278323	248.11634	Ma	ChRM	0	254.0	26.0	14.0	21	7			Carbon Canyon member; Weil et al. (2004)
AW-13-6	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	0	241.0	-20.0	12.0	31	7			Carbon Canyon member; Weil et al. (2004)
AW-13-7	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	0	260.0	-19.0	17.0	22	6			Carbon Canyon member; Weil et al. (2004)
AW-13-8	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	0	267.0	-2.0	14.0	24	7			Carbon Canyon member; Weil et al. (2004)
AW-13-9	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	0	252.0	-29.0	15.0	27	6			Carbon Canyon member; Weil et al. (2004)
AW-13-10	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	0	264.0	-6.0	14.0	25	7			Carbon Canyon member; Weil et al. (2004)
AW-13-11	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	0	263.0	-30.0	19.0	13	7			Carbon Canyon member; Weil et al. (2004)
