tab	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(171.4 to 188.8)	6.9	111.7	-46.1	68.6130364769306	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7672	Basalt	Osler reverse middle	272.381	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(171.4 to 188.8)	34.3	186.3
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(312.1 to 321.0)	2.8	121.8	-61.2	312.50000000000006	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7662	Basalt	Osler reverse middle	272.3819	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(312.1 to 321.0)	49.7	195.8
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(336.4 to 353.8)	3.9	115.2	-56.4	161.07823800131493	8.0	r	100	Extrusive:Igneous	Lava Flow	48.763	Basalt	Osler reverse middle	272.3849	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(336.4 to 353.8)	42.6	193.4
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(375.9 to 381.0)	7.3	116.6	-55.3	91.94970913867517	4.0	r	100	Extrusive:Igneous	Lava Flow	48.7623	Basalt	Osler reverse middle	272.3858	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(375.9 to 381.0)	42.8	191.3
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(387.6 to 395.3)	6.9	117.8	-56.2	58.811174123083376	7.0	r	100	Extrusive:Igneous	Lava Flow	48.762	Basalt	Osler reverse middle	272.386	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(387.6 to 395.3)	44.1	191.4
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(395.3 to 399.3)	4.1	118.3	-63.8	166.56751933372993	7.0	r	100	Extrusive:Igneous	Lava Flow	48.7617	Basalt	Osler reverse middle	272.3862	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(395.3 to 399.3)	49.0	201.9
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(66.9 to 84.0)	3.6	67.4	-68.1	216.04938271604937	7.0	r	100	Extrusive:Igneous	Lava Flow	48.77	Basalt	Osler reverse middle	272.3797	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(66.9 to 84.0)	25.3	232.7
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(84.0 to 88.9)	4.2	47.1	-69.2	138.88888888888889	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7696	Basalt	Osler reverse middle	272.3796	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(84.0 to 88.9)	19.1	244.4
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI4(106.0 to 121.4)	4.3	120.7	-56.8	151.43320713899405	7.0	r	100	Extrusive:Igneous	Lava Flow	48.7499	Basalt	Osler reverse upper	272.4047	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(106.0 to 121.4)	46.4	190.3
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI4(121.4 to 127.3)	4.1	111.5	-50.9	166.56751933372993	7.0	r	100	Extrusive:Igneous	Lava Flow	48.7494	Basalt	Osler reverse upper	272.4046	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(121.4 to 127.3)	36.9	190.4
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI4(133.8 to 143.1)	4.7	109.6	-60.6	126.75418741511994	7.0	r	100	Extrusive:Igneous	Lava Flow	48.749	Basalt	Osler reverse upper	272.4045	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(133.8 to 143.1)	41.7	201.8
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI4(160.4 to 171.1)	4.0	151.1	-62.4	153.125	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7485	Basalt	Osler reverse upper	272.4042	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(160.4 to 171.1)	69.5	179.1
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5a(0.0 to 9.0)	3.9	112.8	-52.5	107.38549200087662	12.0	r	100	Extrusive:Igneous	Lava Flow	48.7363	Basalt	Osler reverse upper	272.3038	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5a(0.0 to 9.0)	38.7	190.9
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5b(115.0 to 120.2)	2.3	114.7	-56.0	411.67821886158373	9.0	r	100	Extrusive:Igneous	Lava Flow	48.7388	Basalt	Osler reverse upper	272.3145	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5b(115.0 to 120.2)	42.0	193.2
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5b(132.4 to 171.9)	4.6	103.5	-60.9	132.32514177693764	7.0	r	100	Extrusive:Igneous	Lava Flow	48.7385	Basalt	Osler reverse upper	272.3136	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5b(132.4 to 171.9)	38.1	205.5
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5b(183.4 to 188.7)	3.5	116.0	-61.0	320.0	5.0	r	100	Extrusive:Igneous	Lava Flow	48.7376	Basalt	Osler reverse upper	272.3066	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5b(183.4 to 188.7)	45.9	198.8
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5b(197.5 to 216.7)	4.2	98.7	-70.0	185.1851851851852	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7373	Basalt	Osler reverse upper	272.3065	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5b(197.5 to 216.7)	41.8	221.0
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5b(3.2 to 30.7)	4.0	111.9	-57.1	204.16666666666666	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7408	Basalt	Osler reverse upper	272.3235	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5b(3.2 to 30.7)	40.9	196.2
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5b(57.2 to 63.3)	5.6	97.9	-42.5	104.16666666666669	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7402	Basalt	Osler reverse upper	272.3162	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5b(57.2 to 63.3)	23.3	193.7
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5b(64.6 to 70.4)	6.1	99.2	-50.4	105.34802472453643	5.0	r	100	Extrusive:Igneous	Lava Flow	48.7401	Basalt	Osler reverse upper	272.3159	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5b(64.6 to 70.4)	28.6	198.0
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI5b(72.6 to 79.0)	3.5	97.0	-49.4	266.6666666666667	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7399	Basalt	Osler reverse upper	272.3155	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI5b(72.6 to 79.0)	26.6	198.8
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(0.0 to 3.0)	6.1	103.2	-63.3	105.34802472453643	5.0	r	100	Extrusive:Igneous	Lava Flow	48.7462	Basalt	Osler reverse upper	272.3607	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(0.0 to 3.0)	39.5	208.7
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(12.0 to 28.4)	2.3	78.3	-63.0	463.1379962192817	8.0	r	100	Extrusive:Igneous	Lava Flow	48.746	Basalt	Osler reverse upper	272.3606	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(12.0 to 28.4)	25.5	221.6
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(122.3 to 127.6)	6.3	79.9	-79.5	70.54673721340389	7.0	r	100	Extrusive:Igneous	Lava Flow	48.7439	Basalt	Osler reverse upper	272.3507	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(122.3 to 127.6)	41.7	245.2
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(180.6 to 188.8)	4.6	75.3	-53.3	115.78449905482043	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7423	Basalt	Osler reverse upper	272.35	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(180.6 to 188.8)	16.2	215.6
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(208.4 to 219.9)	5.8	100.9	-52.0	116.52794292508918	5.0	r	100	Extrusive:Igneous	Lava Flow	48.7415	Basalt	Osler reverse upper	272.3517	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(208.4 to 219.9)	30.7	198.3
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(245.4 to 252.7)	4.9	108.3	-55.3	116.61807580174924	7.0	r	100	Extrusive:Igneous	Lava Flow	48.7405	Basalt	Osler reverse upper	272.3524	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(245.4 to 252.7)	37.5	196.6
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(268.4 to 289.5)	2.7	93.1	-66.3	336.076817558299	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7399	Basalt	Osler reverse upper	272.3533	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(268.4 to 289.5)	36.1	217.8
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(289.8 to 301.1)	5.0	101.7	-61.0	98.0	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7393	Basalt	Osler reverse upper	272.3536	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(289.8 to 301.1)	37.1	206.7
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(40.6 to 57.8)	5.3	95.2	-65.3	116.29286816186068	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7451	Basalt	Osler reverse upper	272.3607	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(40.6 to 57.8)	36.5	215.5
1105.15	1105.48	1104.82	Ma	10.1002/2013gc005180	SI6(76.5 to 94.1)	6.0	105.2	-72.2	77.77777777777779	7.0	r	100	Extrusive:Igneous	Lava Flow	48.7448	Basalt	Osler reverse upper	272.3514	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI6(76.5 to 94.1)	46.5	223.0
