tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	lt	65.5	353.1	40.8	8.2	2	3	0.0	CB1-8a_LP-DIR-T	hargrave 2021-10-28 16:07:15	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB1-8	pmagpy-4.2.24-1: demag_gui	CB1-8a
This study	lt	26.0	340.4	79.6	1.8	2	3	0.0	CB10-1a_LP-DIR-T	hargrave 2021-11-18 16:14:18	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB10-1	pmagpy-4.2.24-1: demag_gui	CB10-1a
This study	lt	26.0	165.1	64.1	1.8	2	3	-1.0	CB10-1a_LP-DIR-T	hargrave 2021-11-18 16:14:18	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB10-1	pmagpy-4.2.24-1: demag_gui	CB10-1a
This study	mt	0.0	63.1	37.6	1.9	2	9	-1.0	CB10-1a_LP-DIR-T	hargrave 2021-11-18 16:14:18	u	859.0	813.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB10-1	pmagpy-4.2.24-1: demag_gui	CB10-1a
This study															LP-NOMAG		CB10-1		CB10-1a
This study	mt	0.0	252.5	28.6	1.9	2	9	0.0	CB10-1a_LP-DIR-T	hargrave 2021-11-18 16:14:18	u	859.0	813.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB10-1	pmagpy-4.2.24-1: demag_gui	CB10-1a
This study	lt	26.0	352.4	69.7	1.8	2	3	100.0	CB10-1a_LP-DIR-T	hargrave 2021-11-18 16:14:18	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB10-1	pmagpy-4.2.24-1: demag_gui	CB10-1a
This study	mt	0.0	258.3	32.1	1.9	2	9	100.0	CB10-1a_LP-DIR-T	hargrave 2021-11-18 16:14:18	u	859.0	813.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB10-1	pmagpy-4.2.24-1: demag_gui	CB10-1a
This study	lt	27.7	187.6	47.4	2.3	2	3	-1.0	CB10-2a_LP-DIR-T	hargrave 2021-11-18 16:15:47	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB10-2	pmagpy-4.2.24-1: demag_gui	CB10-2a
This study	mt	0.0	218.2	-6.4	1.4	2	12	-1.0	CB10-2a_LP-DIR-T	hargrave 2021-11-18 16:15:47	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB10-2	pmagpy-4.2.24-1: demag_gui	CB10-2a
