tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	lab_names
20644	1	2026-05-13T16:42:30.806Z	@contributor	3.0	10.1139/E77-158	Geomagnetism Laboratory (University of Liverpool, UK):Western Paleomagnetic & Petrophysical Laboratory (WPPL) (Western University, Canada)
>>>>>>>>>>
tab delimited	locations
location	location_type	result_name	result_type	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_sigma	age_low	age_high	age_unit	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	description
Sudbury Dikes	Region	Sudbury Dike Swarm ca. 1238 Ma pole	a	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:GM-KAR	10.1139/e77-158	Igneous	Diabase	46	47.5	276.5	280.5	1238	4			Ma	-2.9	193.1	3.3	51	38	"Primary Sudbury Dike Swarm pole, sites away from the Grenville Front (1200-1400 Ma)."
Sudbury Dikes	Region	Sudbury Dikes Grenville-Front overprint ca. 1000 Ma	a	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:GM-KAR	10.1139/e77-158	Igneous	Diabase	46	47.5	276.5	280.5			900	1100	Ma	-3.7	343.4	6.3	24	23	"Grenville Front remagnetization overprint, ~1000 Ma; sites within few km of Grenville Front region."
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	description
56	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.39	277.04	1238	4	1200	1400	Ma	0	258	0	6	233	4	Sudbury Dike direction	-8	198	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
57	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.32	277.74	1238	4	1200	1400	Ma	0	260	22	11	69	4	Sudbury Dike direction	2	203	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
58	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.31	277.79	1238	4	1200	1400	Ma	0	261	6	20	21	4	Sudbury Dike direction	-4	197	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
59	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.18	277.27	1238	4	1200	1400	Ma	0	271	-4	10	93	4	Sudbury Dike direction	-1	185	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
60	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.13	277.07	1238	4	1200	1400	Ma	0	260	-5	4	646	4	Sudbury Dike direction	-9	193	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
61	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.99	280.49			900	1100	Ma	0	112	33	9	118	4	Grenville Front direction	-1	343	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
62	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.99	280.5			900	1100	Ma	0	140	36	12	60	4	Grenville Front direction	-14	319	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
63	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.99	280.5			900	1100	Ma	0	130	25	5	344	4	Grenville Front direction	-15	331	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
65	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.11	277.79			900	1100	Ma	0	91	31	12	65	4	Grenville Front direction	11	356	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
66	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.47	278.96	1238	4	1200	1400	Ma	0	270	11	8	149	4	Sudbury Dike direction	4	193	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
