Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,,,,,,,,,REFNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari,Port Edward Pluton,9135,Some results from REFNO1835 included,,0,-31.0,30.3,5*,36,097.8,-45.6,45.6,317.0,4.3,-07.4,327.8,4.2,4.2,4.2,0or100,4,1,1,1,1,1,1,0,0,0,0,3,B,1004,999,1009,"1025 ± 8; 1002-1005, g",Port Edward Pluton,"Gose, W.A., Johnston, S.T., Thomas, R.J.",2004,J.Afr.Earth Sci.,40,137-145,"Age of magn. of Mesoproterozoic rocks from the Natal sector of the Namaqua-Natal belt, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Africa,Adma Diorite,69,,,0,18.3,1.2,13,62,317.3,78.6,78.6,22.0,9.0,33.5,343.5,16.1,17.1,16.6,100,3,1,1,1,1,1,1,0,0,0,0,3,C+,613,610,616,"613±3, 616±11 U-Pb(z)",Adma diorite,"Morel, P.",1981,Geophys.J.Roy.Astron.Soc.,65,493-503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Africa,"Adrar-n-Takoucht Formation, basal Ouarzazate Group",NEW,C,F+,100,30.5,352.2,9,53,027.7,18.0,18.0,8.0,19.4,-57.6,295.6,15.7,15.7,15.7,MIXED,4,1,1,0,0,0,1,1,0,1,1,5,B,570,564,577,many U-Pb ages,"Adrar-n-Takoucht Formation, basal Ouarzazate Group","Robert, B., Besse, J., Blein, O., Greff-Lefftz, M., Baudin, T., Lopes, F., Meslouh, S., Belbadaoui, M.",2017,Precambr.Res.,295,90-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Africa,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group",NEW,B1,"F+,G*+",100,30.2,352.2,20,99,093.7,67.0,67.0,10.7,10.5,21.9,031.0,15.6,15.6,15.6,MIXED,4,1,1,1,1,1,1,1,0,1,1,6,B,561,551,572,many U-Pb ages,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group","Robert, B., Besse, J., Blein, O., Greff-Lefftz, M., Baudin, T., Lopes, F., Meslouh, S., Belbadaoui, M.",2017,Precambr.Res.,295,90-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Africa,Djebel Boho,NEW,B2,F+,100,30.4,353.3,16,78,087.7,71.9,71.9,14.9,9.9,27.3,027.1,14.9,14.9,14.9,MIXED,4,1,1,1,1,1,1,1,0,1,1,6,B,536,526,547,many U-Pb ages,Djebel Boho,"Robert, B., Besse, J., Blein, O., Greff-Lefftz, M., Baudin, T., Lopes, F., Meslouh, S., Belbadaoui, M.",2017,Precambr.Res.,295,90-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coats Land,Coats Land Nunataks,8235,,,0,-77.9,325.5,6,70,289.5,45.9,45.9,104.0,6.6,22.9,80.3,6.8,6.8,6.8,0or100,4,1,1,1,1,1,1,0,0,0,1,4,B,1112,1108,1116,"1112±4, 1113.5+8-6, 1106±3, g",Coats Land Nunataks,"Gose, W.A., Connelly, J.N., Hutson, F.E., Dalziel, I.W.D.",1997,J.Geophys.Res.,102,7887-7902,"Paleomagnetic data and U-Pb isotopic age determinations from Coats Land, Antarctica: implications for late Proterozoic plate reconstructions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia-N,Elgee-Pentecost combined,9322,,F+,100,-15.7,128.3,17,110,093.9,12.9,12.9,36.0,6.0,-5.4,211.8,2.3,4.5,3.2,0or100,4,1,1,1,1,1,1,1,1,0,0,5,B,1762,1734,1790,"Youngest detrital 1786±14 in underlying Wharton SS, see Schmidt+Williams 08; intruded by Wotjulum Porphyry 1740±6",Elgee-Pentecost combined,Schmidt+Williams 08,2008,Precambrian Res.,167,267-280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia-N,"Peters Creek Volcanics, upper part",8725,A Component,"G+,Ra",100,-17.8,138.2,9,69,293.0,-26.4,26.4,88.3,5.5,-26.0,221.0,4.8,4.8,4.8,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,A,1727,1725,1729,"1725-1729, see Idnurm 00","Peters Creek Volcanics, upper part","Idnurm, M.",2000,Aust.J.Earth Sci.,47,405-429,Towards a high resolution Late Palaeoproterozoic - earliest Mesoproterozoic apparent polar wander path for northern Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia-N,Wollogorang Formation,7605,High Temp.,"F+,Ro",100,-17.1,135.9,,11,284.8,-22.8,22.8,29.6,8.5,-17.9,218.2,7.2,7.2,7.2,MIXED,4,1,0,1,1,0,1,1,1,1,0,5,B,1727,1723,1730,"1723-1730, see Idnurm 00",Wollogorang Formation,"Idnurm,M., Giddings,J.W., Plumb,K.A.",1995,Precambrian Res.,72,1-41,"Apparent polar wander and reversal stratigraphy of the Palaeo-Mesoproterozoic southeastern McArthur Basin, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia-N,Fiery Creek Formation,8734,B Component,Fo,100,-19.7,139.2,5,37,108.0,40.1,40.1,67.6,9.4,-23.9,211.8,10.4,10.4,10.4,0or100,4,1,1,1,1,1,1,0,1,0,0,4,B,1709,1706,1712,"1709±3, GPMDB4.6",Fiery Creek Formation,"Idnurm, M.",2000,Aust.J.Earth Sci.,47,405-429,Towards a high resolution Late Palaeoproterozoic - earliest Mesoproterozoic apparent polar wander path for northern Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
