tab	sites																						
site	location	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	software_packages	citations	method_codes
ns038	North Shore Volcanics	ns038a1 : ns038b1 : ns038c1 : ns038d1 : ns038f1	7.5	MAG:HEM	287.1	17.5	104.2	5	5	0	n	4.9616	0	46.95412	268.22677	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlmb; Larsmont Ophitic Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns039	North Shore Volcanics	ns039a1 : ns039b1 : ns039c1 : ns039d2 : ns039e1	2	HEM	288.8	21.2	1425.8	5	5	0	n	4.9972	0	46.95296	268.22442	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlmb; Larsmont Ophitic Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns039	North Shore Volcanics	ns039a1 : ns039b1 : ns039c1 : ns039d2 : ns039e1	2	HEM	287.6	33	1438.9	5	5	0	n	4.9972	100	46.95296	268.22442	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlmb; Larsmont Ophitic Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns040	North Shore Volcanics	ns040a1 : ns040b1 : ns040c1 : ns040e2 : ns040f2	3.1	MAG	290.2	39.6	598.1	5	5	0	n	4.9933	0	46.92496	268.17933	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns040	North Shore Volcanics	ns040a1 : ns040b1 : ns040c1 : ns040e2 : ns040f2	3.2	MAG	289.5	55.6	587.6	5	5	0	n	4.9932	100	46.92496	268.17933	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns041	North Shore Volcanics	ns041a1 : ns041c1 : ns041d1 : ns041e1 : ns041f3	2.1	MAG	284.5	50	1292.4	5	5	0	n	4.9969	100	46.92407	268.18249	Igneous : Intrusive	Sill	Basalt	DE-SPEC	spdb; Stony Point Diabase.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns041	North Shore Volcanics	ns041a1 : ns041c1 : ns041d1 : ns041e1 : ns041f3	2.1	MAG	286.2	34.1	1321.2	5	5	0	n	4.997	0	46.92407	268.18249	Igneous : Intrusive	Sill	Basalt	DE-SPEC	spdb; Stony Point Diabase.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns042	North Shore Volcanics	ns042c1 : ns042d1 : ns042e2	7.1	MAG	288.7	40.4	306.7	3	3	0	n	2.9935	100	46.91051	268.18249	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns042	North Shore Volcanics	ns042c1 : ns042d1 : ns042e2	7	MAG	289.2	24.5	308.7	3	3	0	n	2.9935	0	46.91051	268.18249	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns042	North Shore Volcanics	ns042a1 : ns042b1 : ns042c1 : ns042d1 : ns042e2	7.5	MAG:HEM	291.6	27.1	104.5	5	5	0	n	4.9617	0	46.91051	268.18249	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns042	North Shore Volcanics	ns042a1 : ns042b1 : ns042c1 : ns042d1 : ns042e2	7.5	MAG:HEM	291.6	43	104.3	5	5	0	n	4.9616	100	46.91051	268.18249	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns043	North Shore Volcanics	ns043a1 : ns043b1 : ns043c2 : ns043e1 : ns043f2	5.5	MAG	276.1	16.8	196.7	5	5	0	n	4.9797	0	46.90964	268.13537	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns043	North Shore Volcanics	ns043a1 : ns043b1 : ns043c2 : ns043e1 : ns043f2	5.5	MAG	274	32.2	196.4	5	5	0	n	4.9796	100	46.90964	268.13537	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns044	North Shore Volcanics	ns044a1 : ns044b1 : ns044d1 : ns044f2	5	HEM	289.7	28.5	344	4	4	0	n	3.9913	0	46.91107	268.13956	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns044	North Shore Volcanics	ns044a1 : ns044b1 : ns044d1 : ns044f2	5	HEM	289.2	44.5	341.9	4	4	0	n	3.9912	100	46.91107	268.13956	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns045	North Shore Volcanics	ns045a1 : ns045b1 : ns045e1 : ns045f1	2.6	MAG	275.1	15.4	1285.3	4	4	0	n	3.9977	0	46.90995	268.13652	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns045	North Shore Volcanics	ns045a1 : ns045b1 : ns045e1 : ns045f1	2.6	MAG	273	30.7	1278.4	4	4	0	n	3.9977	100	46.90995	268.13652	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns046	North Shore Volcanics	ns046b1 : ns046c1 : ns046f1 : ns046h2	7.1	MAG	304.4	42.8	170.3	4	4	0	n	3.9824	100	46.89996	268.10844	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns046	North Shore Volcanics	ns046b1 : ns046c1 : ns046f1 : ns046h2	7	MAG	302.2	27	171	4	4	0	n	3.9825	0	46.89996	268.10844	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns047	North Shore Volcanics	ns047a1 : ns047b1 : ns047c2 : ns047e1 : ns047f2	3.4	MAG:HEM	311.7	55.9	500	5	5	0	n	4.992	100	46.90163	268.11151	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns047	North Shore Volcanics	ns047a1 : ns047b1 : ns047c2 : ns047e1 : ns047f2	3.4	MAG:HEM	306.5	40.5	496.7	5	5	0	n	4.9919	0	46.90163	268.11151	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns047	North Shore Volcanics	ns047b1 : ns047c2 : ns047e1	2.9	MAG	313	55.8	1760	3	3	0	n	2.9989	100	46.90163	268.11151	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns047	North Shore Volcanics	ns047b1 : ns047c2 : ns047e1	3	MAG	307.4	40.5	1722.3	3	3	0	n	2.9988	0	46.90163	268.11151	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns048	North Shore Volcanics	ns048b1 : ns048c1 : ns048d1 : ns048e2	7.7	MAG	302	40.6	141.7	4	4	0	n	3.9788	0	46.89692	268.10385	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns048	North Shore Volcanics	ns048b1 : ns048c1 : ns048d1 : ns048e2	7.7	MAG	305.8	56.3	142	4	4	0	n	3.9789	100	46.89692	268.10385	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns049	North Shore Volcanics	ns049a1 : ns049b1 : ns049e2 : ns049f2	7	MAG	299.9	38.4	175.6	4	4	0	n	3.9829	0	46.90292	268.11385	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns049	North Shore Volcanics	ns049a1 : ns049b1 : ns049e2 : ns049f2	6.9	MAG	302.6	54.2	176.2	4	4	0	n	3.983	100	46.90292	268.11385	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns050	North Shore Volcanics	ns050a1 : ns050c1 : ns050d2 : ns050f1	4.2	MAG	291.3	44.7	473.1	4	4	0	n	3.9937	100	46.88286	268.08416	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns050	North Shore Volcanics	ns050a1 : ns050c1 : ns050d2 : ns050f1	4.2	MAG	291.2	26.7	473.6	4	4	0	n	3.9937	0	46.88286	268.08416	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns051	North Shore Volcanics	ns051a1 : ns051b1 : ns051c1 : ns051d1 : ns051e1	5.1	MAG:HEM	292.9	24	224.5	5	5	0	n	4.9822	0	46.88497	268.08801	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns051	North Shore Volcanics	ns051a1 : ns051b1 : ns051c1 : ns051d1 : ns051e1	5.1	MAG:HEM	293.3	42	222.6	5	5	0	n	4.982	100	46.88497	268.08801	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns051	North Shore Volcanics	ns051c1 : ns051d1 : ns051e1	7.6	MAG	291.3	22.9	264.3	3	3	0	n	2.9924	0	46.88497	268.08801	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns051	North Shore Volcanics	ns051c1 : ns051d1 : ns051e1	7.6	MAG	291.4	40.9	262.3	3	3	0	n	2.9924	100	46.88497	268.08801	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns052	North Shore Volcanics	ns052a1 : ns052c1 : ns052d1 : ns052f1	6.9	MAG	294.8	38.2	180.8	4	4	0	n	3.9834	0	46.89534	268.1015	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns052	North Shore Volcanics	ns052a1 : ns052c1 : ns052d1 : ns052f1	6.9	MAG	295.8	54.2	180.8	4	4	0	n	3.9834	100	46.89534	268.1015	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns053	North Shore Volcanics	ns053b1 : ns053c1 : ns053e2 : ns053f2	3.3	MAG	295.1	43	768.3	4	4	0	n	3.9961	100	46.87654	268.06891	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns053	North Shore Volcanics	ns053b1 : ns053c1 : ns053e2 : ns053f2	3.3	MAG	293.7	24.2	785	4	4	0	n	3.9962	0	46.87654	268.06891	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns054	North Shore Volcanics	ns054b1 : ns054c1 : ns054d1 : ns054f1	7.5	MAG	289.5	56	151.1	4	4	0	n	3.9801	100	46.89499	268.10066	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns054	North Shore Volcanics	ns054b1 : ns054c1 : ns054d1 : ns054f1	7.5	MAG	290.2	40	150.5	4	4	0	n	3.9801	0	46.89499	268.10066	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns055	North Shore Volcanics	ns055a1 : ns055b1 : ns055c1 : ns055e2 : ns055g1	3.9	HEM	284.3	17.7	390.5	5	5	0	n	4.9898	0	46.87575	268.04751	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns055	North Shore Volcanics	ns055a1 : ns055b1 : ns055c1 : ns055e2 : ns055g1	3.9	HEM	283.6	36.7	391.3	5	5	0	n	4.9898	100	46.87575	268.04751	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns056	North Shore Volcanics	ns056b1 : ns056c1 : ns056d1 : ns056e2	2.5	MAG	297	23.4	1302.5	4	4	0	n	3.9977	0	46.89011	268.09337	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns056	North Shore Volcanics	ns056b1 : ns056c1 : ns056d1 : ns056e2	2.6	MAG	298.4	41.3	1271.2	4	4	0	n	3.9976	100	46.89011	268.09337	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns057	North Shore Volcanics	ns057c1 : ns057d1 : ns057e2	3	MAG	287.3	29.5	1734.9	3	3	0	n	2.9988	100	46.87453	268.06569	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns057	North Shore Volcanics	ns057c1 : ns057d1 : ns057e2	2.9	MAG	287.4	10.5	1806.6	3	3	0	n	2.9989	0	46.87453	268.06569	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns057	North Shore Volcanics	ns057a1 : ns057b1 : ns057c1 : ns057d1 : ns057e2	1.6	MAG:HEM	287.8	10.6	2270.1	5	5	0	n	4.9982	0	46.87453	268.06569	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns057	North Shore Volcanics	ns057a1 : ns057b1 : ns057c1 : ns057d1 : ns057e2	1.6	MAG:HEM	287.7	29.6	2203.3	5	5	0	n	4.9982	100	46.87453	268.06569	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns058	North Shore Volcanics	ns058a1 : ns058b1 : ns058d2 : ns058e2	7.8	MAG	306.1	52.5	158.6	4	3	1	n	3.9842	100	46.89011	268.09337	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns058	North Shore Volcanics	ns058a1 : ns058b1 : ns058d2 : ns058e2	7.8	MAG	302.2	34.9	158.3	4	3	1	n	3.9842	0	46.89011	268.09337	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns059	North Shore Volcanics	ns059a1 : ns059c2 : ns059f1 : ns059g2	9.8	MAG	290.2	44.3	88.9	4	4	0	n	3.9663	100	46.8835	268.08551	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns059	North Shore Volcanics	ns059a1 : ns059c2 : ns059f1 : ns059g2	9.8	MAG	290.4	26.3	89.4	4	4	0	n	3.9664	0	46.8835	268.08551	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nsrb; Sucker River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns060	North Shore Volcanics	ns060a1 : ns060b1 : ns060c1 : ns060f1	10.1	HEM	292.5	26.8	83.7	4	4	0	n	3.9642	0	46.86945	268.05315	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns060	North Shore Volcanics	ns060a1 : ns060b1 : ns060c1 : ns060f1	10.1	HEM	293.7	45.7	83.8	4	4	0	n	3.9642	100	46.86945	268.05315	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns061	North Shore Volcanics	ns061a1 : ns061b1 : ns061e2 : ns061f2 : ns061g3	5.1	MAG	300.4	31.4	237.9	5	4	1	n	4.9853	0	46.86879	268.05134	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns061	North Shore Volcanics	ns061a1 : ns061b1 : ns061e2 : ns061f2 : ns061g3	5.1	MAG	304.5	49.8	241.1	5	4	1	n	4.9855	100	46.86879	268.05134	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns062	North Shore Volcanics	ns062b1 : ns062c1 : ns062e2 : ns062f1	5.2	MAG	294.3	52.6	316	4	4	0	n	3.9905	100	46.86996	268.05477	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns062	North Shore Volcanics	ns062b1 : ns062c1 : ns062e2 : ns062f1	5.2	MAG	292.6	33.6	314.8	4	4	0	n	3.9905	0	46.86996	268.05477	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns063	North Shore Volcanics	ns063a1 : ns063e1 : ns063f1	4.5	MAG	298.8	30.8	1019.9	3	2	1	n	2.9985	100	46.86909	268.05227	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns063	North Shore Volcanics	ns063a1 : ns063b1 : ns063c2 : ns063e1 : ns063f1	4.6	MAG:HEM	299.6	33.9	292.6	5	4	1	n	4.988	100	46.86909	268.05227	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns063	North Shore Volcanics	ns063a1 : ns063b1 : ns063c2 : ns063e1 : ns063f1	4.6	MAG:HEM	298	15.3	290.3	5	4	1	n	4.9879	0	46.86909	268.05227	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns063	North Shore Volcanics	ns063a1 : ns063e1 : ns063f1	4.5	MAG	297.5	12.1	1028	3	2	1	n	2.9985	0	46.86909	268.05227	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns064	North Shore Volcanics	ns064b1 : ns064c2 : ns064e1 : ns064f2	5.8	MAG	296.4	29.4	253.6	4	4	0	n	3.9882	0	46.86785	268.04964	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns064	North Shore Volcanics	ns064b1 : ns064c2 : ns064e1 : ns064f2	5.7	MAG	298.9	48.1	257.8	4	4	0	n	3.9884	100	46.86785	268.04964	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns065	North Shore Volcanics	ns065b1 : ns065d1 : ns065e1 : ns065f2	9.5	MAG	290.8	28.9	95.5	4	4	0	n	3.9686	0	46.86961	268.05363	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns065	North Shore Volcanics	ns065b1 : ns065d1 : ns065e1 : ns065f2	9.4	MAG	291.6	47.9	95.9	4	4	0	n	3.9687	100	46.86961	268.05363	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns066	North Shore Volcanics	ns066a1 : ns066c1 : ns066d1 : ns066e1	2.8	HEM	313	19.7	1062.2	4	4	0	n	3.9972	0	46.86674	268.0474	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns066	North Shore Volcanics	ns066a1 : ns066c1 : ns066d1 : ns066e1	2.8	HEM	317.6	36.6	1055.8	4	4	0	n	3.9972	100	46.86674	268.0474	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns067	North Shore Volcanics	ns067a1 : ns067b1 : ns067c3 : ns067e1	5.3	HEM	287.5	28.6	299.2	4	4	0	n	3.99	0	46.87085	268.05704	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns067	North Shore Volcanics	ns067a1 : ns067b1 : ns067c3 : ns067e1	5.3	HEM	287.4	47.6	300.9	4	4	0	n	3.99	100	46.87085	268.05704	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns068	North Shore Volcanics	ns068a1 : ns068b1 : ns068d1 : ns068f1	8.2	MAG	310.8	16.1	127	4	4	0	n	3.9764	0	46.86433	268.04385	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns068	North Shore Volcanics	ns068a1 : ns068b1 : ns068d1 : ns068f1	8.1	MAG	314.5	33.4	128.1	4	4	0	n	3.9766	100	46.86433	268.04385	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns070	North Shore Volcanics	ns070a1 : ns070c1 : ns070c2 : ns070f1	25.7	HEM	312	55.3	18.1	4	2	2	n	3.8894	0	46.86164	268.04036	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns070	North Shore Volcanics	ns070a1 : ns070c1 : ns070c2 : ns070f1	25.7	HEM	334	71.2	18.1	4	2	2	n	3.8894	100	46.86164	268.04036	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns071	North Shore Volcanics	ns071b1 : ns071c1 : ns071d2 : ns071e1 : ns071f2	7.3	MAG	305.6	27.6	111.6	5	5	0	n	4.9642	0	46.8673	268.04816	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns071	North Shore Volcanics	ns071b1 : ns071c1 : ns071d2 : ns071e1 : ns071f2	7.3	MAG	310.5	45.5	111.5	5	5	0	n	4.9641	100	46.8673	268.04816	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns072	North Shore Volcanics	ns072a1 : ns072b1 : ns072c1 : ns072d1 : ns072e1	5.7	MAG:HEM	291.5	54.2	235.8	5	2	3	n	4.9894	100	46.85836	268.03466	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns072	North Shore Volcanics	ns072a1 : ns072b1 : ns072c1 : ns072d1 : ns072e1	5.7	MAG:HEM	290.5	35.2	236.1	5	2	3	n	4.9894	0	46.85836	268.03466	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns072	North Shore Volcanics	ns072a1 : ns072b1 : ns072d1	9.8	MAG	289.5	35.3	219.8	3	2	1	n	2.9932	0	46.85836	268.03466	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns072	North Shore Volcanics	ns072a1 : ns072b1 : ns072d1	9.8	MAG	290.1	54.3	218.7	3	2	1	n	2.9931	100	46.85836	268.03466	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns073	North Shore Volcanics	ns073b1 : ns073c1 : ns073d2 : ns073e1	10.2	MAG:HEM	308.4	34.5	82.5	4	4	0	n	3.9637	100	46.86576	268.04598	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns073	North Shore Volcanics	ns073b1 : ns073c1 : ns073d2 : ns073e1	10.2	MAG:HEM	305.4	16.5	82.1	4	4	0	n	3.9634	0	46.86576	268.04598	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns073	North Shore Volcanics	ns073b1 : ns073c1 : ns073d2	13	MAG	303.4	18.6	90.6	3	3	0	n	2.9779	0	46.86576	268.04598	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns073	North Shore Volcanics	ns073b1 : ns073c1 : ns073d2	13	MAG	306.3	36.8	91.5	3	3	0	n	2.9781	100	46.86576	268.04598	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nlwb; Lakewood Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
