site,comp,tilt,dec,inc,alpha95,k,n,lat,lon,vgp_lat,vgp_lon,vgp_dp,vgp_dm
SLB28,hem,100,281.7,48.5,4.1,216,7,47.5259,-90.9289,28.8,192.4,3.5,5.4
SLB28,mag,0,284.4,30.3,8.7,49,7,47.5259,-90.9289,21.6,179.9,5.4,9.7
SLB28,mag,100,277.6,44.9,8.7,49,7,47.5259,-90.9289,24.1,192.6,6.9,11.0
SLB29,hem,0,274.4,8.8,6.2,96,7,47.526,-90.9283,6.2,178.8,3.2,6.3
SLB29,hem,100,271.4,22.0,6.2,96,7,47.526,-90.9283,9.3,185.8,3.5,6.6
SLB29,mag,0,273.2,7.0,6.6,85,7,47.526,-90.9283,4.8,179.1,3.3,6.6
SLB29,mag,100,270.5,20.1,6.6,85,7,47.526,-90.9283,8.0,185.8,3.6,6.9
SLB30,hem,0,290.7,30.9,4.2,173,8,47.5254,-90.9263,26.1,175.5,2.6,4.7
SLB30,hem,100,285.1,46.5,4.2,173,8,47.5254,-90.9263,30.0,188.7,3.5,5.4
SLB30,mag,0,289.6,30.2,4.6,148,8,47.5254,-90.9263,25.1,176.0,2.8,5.1
SLB30,mag,100,283.8,45.6,4.6,149,8,47.5254,-90.9263,28.6,188.9,3.7,5.9
SLB31,hem,0,298.7,27.0,2.1,705,8,47.5253,-90.9262,29.8,167.3,1.2,2.3
SLB31,hem,100,295.5,43.4,2.1,704,8,47.5253,-90.9262,35.3,179.2,1.6,2.6
SLB31,mag,0,296.4,26.9,2.9,367,8,47.5253,-90.9262,28.2,169.2,1.7,3.2
SLB31,mag,100,292.8,43.1,2.9,368,8,47.5253,-90.9262,33.3,180.9,2.2,3.6
SLB32,hem,0,300.0,27.4,3.6,280,7,47.525,-90.9257,30.8,166.5,2.1,3.9
SLB32,hem,100,297.2,43.9,3.6,279,7,47.525,-90.9257,36.7,178.3,2.8,4.5
SLB32,mag,0,299.3,28.3,3.7,273,7,47.525,-90.9257,30.7,167.5,2.2,4.1
SLB32,mag,100,296.1,44.8,3.7,271,7,47.525,-90.9257,36.4,179.8,2.9,4.7
SLB33,hem,0,294.2,25.6,2.8,404,8,47.5249,-90.9256,26.2,170.3,1.6,3.0
SLB33,hem,100,290.4,41.6,2.8,399,8,47.5249,-90.9256,31.0,181.7,2.1,3.4
SLB33,mag,0,294.9,22.7,3.4,266,8,47.5249,-90.9256,25.4,168.5,1.9,3.6
SLB33,mag,100,291.6,38.8,3.4,264,8,47.5249,-90.9256,30.4,179.1,2.4,4.0
SLB34,hem,0,291.7,27.7,3.4,268,8,47.5249,-90.9255,25.4,173.2,2.0,3.7
SLB34,hem,100,287.0,43.4,3.4,269,8,47.5249,-90.9255,29.6,185.3,2.6,4.2
SLB34,mag,0,292.0,27.5,3.5,248,8,47.5249,-90.9255,25.5,172.9,2.1,3.8
SLB34,mag,100,287.4,43.2,3.5,248,8,47.5249,-90.9255,29.8,184.8,2.7,4.3
SLB35,hem,0,297.4,28.9,2.3,484,9,47.5246,-90.9253,29.7,169.3,1.4,2.5
SLB35,hem,100,293.8,45.2,2.3,484,9,47.5246,-90.9253,35.1,181.7,1.8,2.9
SLB35,mag,0,298.2,30.4,2.6,385,9,47.5246,-90.9253,30.9,169.4,1.6,2.9
SLB35,mag,100,294.5,46.8,2.6,387,9,47.5246,-90.9253,36.4,182.5,2.2,3.4
SLB36,hem,0,293.2,24.2,3.8,189,9,47.5242,-90.9242,24.9,170.5,2.2,4.1
SLB36,hem,100,289.4,40.1,3.8,188,9,47.5242,-90.9242,29.5,181.5,2.8,4.6
SLB36,mag,0,292.5,25.1,3.7,193,9,47.5242,-90.9242,24.8,171.4,2.1,4.0
SLB36,mag,100,288.4,40.9,3.7,194,9,47.5242,-90.9242,29.3,182.7,2.7,4.5
SLB37,hem,0,298.4,29.9,2.8,341,9,47.5241,-90.9236,30.8,169.0,1.7,3.1
SLB37,hem,100,294.9,46.3,2.8,339,9,47.5241,-90.9236,36.4,181.8,2.3,3.6
