tab 	sites
N	age	age_high	age_low	age_sigma	age_unit	citations	description	dip	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	n	paleolatitude	result_quality	result_type	site	strike	vgp_dm	vgp_dp	vgp_lat	vgp_lat_rev	vgp_lon	vgp_lon_rev
8	1430	1445	1415		Ma	10.1029/94JB00580	An	35.0	6.5	108.7	-64.1	88.0	7	100	Igneous	Pluton	41.778	Anorthosite	Rocky Mountain intrusions	254.651	DE-FM	7	-45.838592638999955	g	i	La7	280.0	10.367250057684396	8.267682596812078	-40.129871842977444	40.129871842977444	14.98592972021935	194.9859297202193
9	1430	1445	1415		Ma	10.1029/94JB00580	Tr	35.0	18.1	111.4	-39.8	12.0	7	100	Igneous	Pluton	41.782	Troctolite	Rocky Mountain intrusions	254.652	DE-FM	7	-22.61584342102983	g	i	La8	280.0	21.7474153435251	13.064919174690349	-30.489903527614384	30.489903527614384	348.8000664592979	168.8000664592979
9	1430	1445	1415		Ma	10.1029/94JB00580	An	25.0	8.2	87.6	-67.9	40.0	9	100	Igneous	Pluton	41.777	Anorthosite	Rocky Mountain intrusions	254.655	DE-FM	9	-50.919403747569056	g	i	La9	278.0	13.740172405846733	11.511727911121472	-29.833633763802368	29.833633763802347	28.095776722746063	208.09577672274605
9	1430	1445	1415		Ma	10.1029/94JB00580	Sy	50.0	7.0	69.4	-3.6	55.0	9	100	Igneous	Pluton	41.735	Syenite	Rocky Mountain intrusions	254.563	DE-FM	9	-1.801778283425093	g	i	La11	192.0	7.0103724636316915	3.5103801484889616	13.974805589635714	-13.974805589635723	359.9548571660252	179.9548571660252
9	1430	1445	1415		Ma	10.1029/94JB00580	Sy	20.0	3.6	50.0	-42.0	202.0	9	100	Igneous	Pluton	41.709	Syenite	Rocky Mountain intrusions	254.515	DE-FM	9	-24.237370383549177	g	i	La14	203.0	4.417267115824645	2.7100345517424698	9.463940638982454	-9.463940638982454	29.42974774085784	209.4297477408578
7	1430	1445	1415		Ma	10.1029/94JB00580	An xen	21.0	9.5	34.9	-61.5	51.0	5	100	Igneous	Pluton	41.713	Anorthosite:Syenite	Rocky Mountain intrusions	254.525	DE-FM	5	-42.641520100613796	g	i	La15	45.0	14.645567180547856	11.28908621262844	-0.022086736056405862	0.022086736056421766	49.63520892084294	229.63520892084296
10	1430	1445	1415		Ma	10.1029/94JB00580	Sy	25.0	4.4	6.2	-49.0	120.0	10	100	Igneous	Pluton	41.716	Syenite	Rocky Mountain intrusions	254.539	DE-FM	10	-29.906832885567898	g	i	La16	28.0	5.813629458946826	3.840714487037997	18.148821136023702	-18.148821136023734	68.88509817583724	248.8850981758372
8	1430	1445	1415		Ma	10.1029/94JB00580	Sy	35.0	2.5	79.8	-44.8	476.0	8	100	Igneous	Pluton	41.719	Syenite	Rocky Mountain intrusions	254.542	DE-FM	8	-26.405385346087726	g	i	La17	235.0	3.1556753893763316	1.9916574326230936	-10.227786193724794	10.227786193724794	10.937300006006254	190.9373000060063
8	1430	1445	1415		Ma	10.1029/94JB00580	Sy	50.0	8.3	68.2	-26.5	46.0	8	100	Igneous	Pluton	41.732	Syenite	Rocky Mountain intrusions	254.549	DE-FM	8	-13.997993386249952	g	i	La18	206.0	8.99901176132562	4.878446547016678	6.194128930647303	-6.194128930647292	9.563054542248473	189.56305454224844
9	1430	1445	1415		Ma	10.1029/94JB00580	An	50.0	14.0	64.7	-21.6	34.0	9	100	Igneous	Pluton	41.738	Anorthosite	Rocky Mountain intrusions	254.571	DE-FM	9	-11.197721418104612	g	i	La19	195.0	14.770733090038016	7.791948429183714	10.576110720212112	-10.576110720212112	10.122494985276983	190.122494985277
10	1430	1445	1415		Ma	10.1029/94JB00580	An	45.0	4.3	109.0	-41.0	147.0	9	100	Igneous	Pluton	41.77	Anorthosite	Rocky Mountain intrusions	254.639	DE-FM	9	-23.491855821165487	g	i	La25	275.0	5.225323891838077	3.174884857513236	-29.22418410562414	29.22418410562414	351.1129750392628	171.11297503926278
8	1430	1445	1415		Ma	10.1029/94JB00580	An	45.0	8.0	119.6	-69.2	58.0	7	100	Igneous	Pluton	41.764	Anorthosite	Rocky Mountain intrusions	254.626	DE-FM	7	-52.775019340677574	g	i	La26	278.0	13.628487285080945	11.608479104975812	-48.87214919624668	48.87214919624668	21.524256732598605	201.52425673259853
9	1430	1445	1415		Ma	10.1029/94JB00580	An	50.0	10.0	99.1	-34.8	37.0	7	100	Igneous	Pluton	41.758	Anorthosite	Rocky Mountain intrusions	254.61	DE-FM	7	-19.162802152830434	g	i	La27	235.0	11.503264803888708	6.616255057419237	-19.27212090143879	19.27212090143879	353.46884686615914	173.46884686615908
