tab 	sites
age	age_high	age_low	age_unit	citations	dir_comp_name	dir_dec	dir_inc	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	samples	site	software_packages	specimens	vgp_lat	vgp_lon
1075	1085.57	1050	Ma	This study	lt	351.1	72.1	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-109	PF18-109	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-109a	78.0	245.6
1075	1085.57	1050	Ma	This study	lt	320.9	-5.3	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-109	PF18-109	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-109a	30.0	136.2
1075	1085.57	1050	Ma	This study	mt	267.0	17.2	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-11	PF18-11	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-11a	4.3	187.7
1075	1085.57	1050	Ma	This study	lt	321.6	-2.9	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-11	PF18-11	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-11a	31.4	136.2
1075	1085.57	1050	Ma	This study	hdt	262.9	26.1	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-11	PF18-11	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-11a	5.1	194.1
1075	1085.57	1050	Ma	This study	mt	205.6	45.9	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-11	PF18-11	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-11a	-12.7	246.3
1075	1085.57	1050	Ma	This study	lt	353.3	74.7	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-11	PF18-11	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-11a	74.6	257.3
1075	1085.57	1050	Ma	This study	hdt	194.3	40.7	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-11	PF18-11	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-11a	-19.1	255.6
1075	1085.57	1050	Ma	This study	lt	11.1	79.5	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-110	PF18-110	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-110a	66.2	279.0
1075	1085.57	1050	Ma	This study	mht	256.2	57.1	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-110	PF18-110	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-110a	18.3	215.5
1075	1085.57	1050	Ma	This study	lt	318.2	3.1	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-110	PF18-110	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-110a	32.2	141.4
1075	1085.57	1050	Ma	This study	mht	282.7	-12.0	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-110	PF18-110	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-110a	4.2	166.1
1075	1085.57	1050	Ma	This study	hdt	198.1	36.3	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-111	PF18-111	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-111a	-21.4	251.2
1075	1085.57	1050	Ma	This study	mt	217.5	50.5	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-111	PF18-111	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-111a	-5.2	238.0
1075	1085.57	1050	Ma	This study	hdt	254.8	21.5	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-111	PF18-111	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-111a	-2.1	198.1
1075	1085.57	1050	Ma	This study	mt	269.1	7.1	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-111	PF18-111	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-111a	2.0	182.6
1075	1085.57	1050	Ma	This study	mht	287.0	-16.0	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-112	PF18-112	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-112a	5.5	161.5
1075	1085.57	1050	Ma	This study	lt	321.1	0.9	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-112	PF18-112	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-112a	32.8	137.8
1075	1085.57	1050	Ma	This study	lt	8.8	75.9	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-112	PF18-112	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-112a	72.4	282.6
1075	1085.57	1050	Ma	This study	mht	267.0	57.6	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-112	PF18-112	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-112a	24.9	209.6
