tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	weight
This study	lt	29.5	315.5	0.6	4.4	3	4	100.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	473.0	323.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
This study	lt	18.8	318.2	3.1	0.7	2	3	100.0	PF18-110a_LP-DIR-T	hargrave 2021-06-08 10:36:01	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-110	pmagpy-4.2.24-1: demag_gui	PF18-110a	
This study	mht	8.4	256.2	57.1	4.2	2	16	0.0	PF18-110a_LP-DIR-T	hargrave 2021-06-08 10:36:01	u	903.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-110	pmagpy-4.2.24-1: demag_gui	PF18-110a	
This study	lt	18.8	11.1	79.5	0.7	2	3	0.0	PF18-110a_LP-DIR-T	hargrave 2021-06-08 10:36:01	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-110	pmagpy-4.2.24-1: demag_gui	PF18-110a	
This study	mht	8.4	78.9	71.2	4.2	2	16	-1.0	PF18-110a_LP-DIR-T	hargrave 2021-06-08 10:36:01	u	903.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-110	pmagpy-4.2.24-1: demag_gui	PF18-110a	
This study	lt	18.8	170.6	56.5	0.7	2	3	-1.0	PF18-110a_LP-DIR-T	hargrave 2021-06-08 10:36:01	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-110	pmagpy-4.2.24-1: demag_gui	PF18-110a	
This study	mht	8.4	282.7	-12.0	4.2	2	16	100.0	PF18-110a_LP-DIR-T	hargrave 2021-06-08 10:36:01	u	903.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-110	pmagpy-4.2.24-1: demag_gui	PF18-110a	
This study	hdt	0.0	345.6	64.9	18.0	2	14	-1.0	PF18-111a_LP-DIR-T	hargrave 2021-06-08 10:37:44	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-111	pmagpy-4.2.24-1: demag_gui	PF18-111a	
This study	mt	6.4	37.7	77.6	7.2	2	6	-1.0	PF18-111a_LP-DIR-T	hargrave 2021-06-08 10:37:44	u	863.0	808.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-111	pmagpy-4.2.24-1: demag_gui	PF18-111a	
This study	mt	6.4	217.5	50.5	7.2	2	6	0.0	PF18-111a_LP-DIR-T	hargrave 2021-06-08 10:37:44	u	863.0	808.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-111	pmagpy-4.2.24-1: demag_gui	PF18-111a	
This study	hdt	0.0	254.8	21.5	18.0	2	14	100.0	PF18-111a_LP-DIR-T	hargrave 2021-06-08 10:37:44	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	PF18-111	pmagpy-4.2.24-1: demag_gui	PF18-111a	
This study	hdt	0.0	198.1	36.3	18.0	2	14	0.0	PF18-111a_LP-DIR-T	hargrave 2021-06-08 10:37:44	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-111	pmagpy-4.2.24-1: demag_gui	PF18-111a	
This study	mt	6.4	269.1	7.1	7.2	2	6	100.0	PF18-111a_LP-DIR-T	hargrave 2021-06-08 10:37:44	u	863.0	808.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-111	pmagpy-4.2.24-1: demag_gui	PF18-111a	
This study	lt	16.9	8.8	75.9	1.6	2	3	0.0	PF18-112a_LP-DIR-T	hargrave 2021-06-08 10:39:29	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-112	pmagpy-4.2.24-1: demag_gui	PF18-112a	
This study	lt	16.9	172.3	42.8	1.6	2	3	-1.0	PF18-112a_LP-DIR-T	hargrave 2021-06-08 10:39:29	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-112	pmagpy-4.2.24-1: demag_gui	PF18-112a	
This study	mht	1.8	116.1	61.0	5.2	2	15	-1.0	PF18-112a_LP-DIR-T	hargrave 2021-06-08 10:39:29	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-112	pmagpy-4.2.24-1: demag_gui	PF18-112a	
This study	mht	1.8	287.0	-16.0	5.2	2	15	100.0	PF18-112a_LP-DIR-T	hargrave 2021-06-08 10:39:29	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-112	pmagpy-4.2.24-1: demag_gui	PF18-112a	
This study	mht	1.8	267.0	57.6	5.2	2	15	0.0	PF18-112a_LP-DIR-T	hargrave 2021-06-08 10:39:29	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-112	pmagpy-4.2.24-1: demag_gui	PF18-112a	
This study	lt	16.9	321.1	0.9	1.6	2	3	100.0	PF18-112a_LP-DIR-T	hargrave 2021-06-08 10:39:29	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-112	pmagpy-4.2.24-1: demag_gui	PF18-112a	
This study	hdt	0.0	201.0	40.6	7.4	2	16	0.0	PF18-113a_LP-DIR-T	hargrave 2021-06-08 10:41:16	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-113	pmagpy-4.2.24-1: demag_gui	PF18-113a	
This study	hdt	0.0	329.8	70.9	7.4	2	16	-1.0	PF18-113a_LP-DIR-T	hargrave 2021-06-08 10:41:16	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-113	pmagpy-4.2.24-1: demag_gui	PF18-113a	
This study	lt	31.3	164.9	48.2	1.5	2	3	-1.0	PF18-113a_LP-DIR-T	hargrave 2021-06-08 10:41:16	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-113	pmagpy-4.2.24-1: demag_gui	PF18-113a	
This study	lt	31.3	344.5	76.7	1.5	2	3	0.0	PF18-113a_LP-DIR-T	hargrave 2021-06-08 10:41:16	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-113	pmagpy-4.2.24-1: demag_gui	PF18-113a	
This study	lt	31.3	316.6	-2.8	1.5	2	3	100.0	PF18-113a_LP-DIR-T	hargrave 2021-06-08 10:41:16	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-113	pmagpy-4.2.24-1: demag_gui	PF18-113a	
This study	hdt	0.0	259.2	18.8	7.4	2	16	100.0	PF18-113a_LP-DIR-T	hargrave 2021-06-08 10:41:16	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	PF18-113	pmagpy-4.2.24-1: demag_gui	PF18-113a	
This study	hdt	0.0	199.1	39.0	3.2	2	12	0.0	PF18-114a_LP-DIR-T	hargrave 2021-06-08 10:43:06	u	965.0	941.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-114	pmagpy-4.2.24-1: demag_gui	PF18-114a	
This study	lt	27.3	226.8	71.0	3.0	2	3	-1.0	PF18-114a_LP-DIR-T	hargrave 2021-06-08 10:43:06	u	423.0	323.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-114	pmagpy-4.2.24-1: demag_gui	PF18-114a	
This study	lt	27.3	349.6	69.2	3.0	2	3	0.0	PF18-114a_LP-DIR-T	hargrave 2021-06-08 10:43:06	u	423.0	323.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-114	pmagpy-4.2.24-1: demag_gui	PF18-114a	
This study	hdt	0.0	257.6	20.5	3.2	2	12	100.0	PF18-114a_LP-DIR-T	hargrave 2021-06-08 10:43:06	u	965.0	941.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	PF18-114	pmagpy-4.2.24-1: demag_gui	PF18-114a	
This study	lt	27.3	322.4	-7.7	3.0	2	3	100.0	PF18-114a_LP-DIR-T	hargrave 2021-06-08 10:43:06	u	423.0	323.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-114	pmagpy-4.2.24-1: demag_gui	PF18-114a	
This study	hdt	0.0	170.1	10.5	3.2	2	12	-1.0	PF18-114a_LP-DIR-T	hargrave 2021-06-08 10:43:06	u	965.0	941.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-114	pmagpy-4.2.24-1: demag_gui	PF18-114a	
